v0056_bd,intersite-peering
v0064_bd,OOBMgmt
v0080_bd,Vlan80
v0090_bd,markStephensLab
v0091_bd,paulMerlittiLab
v0110_bd,inBandMgmt
v0168_bd,Wakanda-inband.L3Out
v0169_bd,Asgard-inband.L3Out
v0691_bd,Storage
v0811_bd,Streched_vl811
v0812_bd,Loki
v0995_bd,GW1_Path1
v0996_bd,GW1_Path2
v0997_bd,coreL3Peer
v0998_bd,inside
v0999_bd,dirtyDMZ
v3004_bd,ASE_Data
v3103_bd,vMotion
v3910_bd,east-common-tenant-l3
v3960_bd,Asgard.Common.HNB.L3Out
v3961_bd,Wakanda.Common.HNB.L3Out
v3962_bd,Wakanda.Mercy.L3Out
v3963_bd,Asgard.Mercy.L3Out
v3964_bd,Wakanda.HNB.L3Out
v3965_bd,Asgard.HNB.L3Out
v3966_bd,Asgard_Common_L3Out
v3967_bd,Asgard-Infra
